Item_Fat_Content,Item_Identifier,Item_Type,Outlet_Establishment_Year,Outlet_Identifier,Outlet_Location_Type,Outlet_Size,Outlet_Type,Item_Visibility,Item_Weight,Sales,Rating,Outlet Age
Low Fat,FDH27,Dairy,2018,OUT045,Tier 2,Medium,Supermarket Type1,0.058465268,7.075,145.3128,4.5,8
Low Fat,FDK21,Snack Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.010010425,12.867122940430924,249.0408,3.9985355648535563,9
Regular,FDR52,Frozen Foods,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.075676339,12.867122940430924,190.4846,4.0,8
Low Fat,FDZ56,Fruits and Vegetables,2018,OUT049,Tier 1,Medium,Supermarket Type1,0.025776994,16.25,169.9474,4.0,8
Regular,FDY57,Snack Foods,2015,OUT045,Tier 2,High,Supermarket Type1,0.121500143,20.2,143.9786,4.0,11
Low Fat,FDZ09,Snack Foods,2020,OUT017,Tier 2,High,Supermarket Type1,0.05934663,17.6,165.6868,4.0,6
Low Fat,NCS53,Health and Hygiene,2014,OUT013,Tier 3,High,Supermarket Type1,0.089703476,12.867122940430924,158.3604,4.2,12
LF,NCF55,Household,2015,OUT045,Tier 3,Medium,Supermarket Type1,0.021710275,6.675,34.9874,4.5,11
Regular,FDS04,Frozen Foods,2020,OUT017,Tier 2,Medium,Supermarket Type1,0.147492524,10.195,141.5838,5.0,6
reg,FDG56,Fruits and Vegetables,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.071743629,13.3,59.7536,4.0,4
Low Fat,FDS52,Frozen Foods,2018,OUT019,Tier 1,Small,Grocery Store,0.009585169,12.867122940430924,102.5016,4.9,8
Low Fat,FDK43,Meat,2014,OUT013,Tier 3,High,Supermarket Type1,0.02681843,9.8,126.002,4.2,12
Low Fat,FDI45,Fruits and Vegetables,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.037734334,13.1,173.9054,4.1,4
Regular,FDU28,Frozen Foods,2020,OUT017,Tier 2,Small,Supermarket Type1,0.09444959,12.867122940430924,187.8214,4.3,6
Regular,FDC10,Snack Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.072990979,9.8,121.6098,4.2,14
Low Fat,NCC54,Health and Hygiene,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.097862839,17.75,239.3196,4.0,14
Low Fat,NCB07,Household,2018,OUT049,Tier 1,Medium,Supermarket Type1,0.077628053,19.2,197.611,5.0,8
Low Fat,FDU08,Fruits and Vegetables,2017,OUT035,Tier 2,Medium,Supermarket Type1,0.027310252,10.3,101.0042,3.9985355648535563,9
Low Fat,NCN07,Others,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.034082974,18.5,130.9284,4.0,4
Low Fat,NCN14,Others,2016,OUT046,Tier 1,Small,Supermarket Type1,0.091917786,19.1,182.7608,4.0,10
Low Fat,DRE12,Soft Drinks,2018,OUT049,Tier 3,Medium,Supermarket Type1,0.070890602,4.59,111.686,4.8,8
Regular,FDU21,Snack Foods,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.076348933,12.867122940430924,32.8558,4.2,8
Low Fat,DRC24,Soft Drinks,2020,OUT017,Tier 2,High,Supermarket Type1,0.024961677,17.85,153.2018,1.7,6
Low Fat,NCI55,Household,2012,OUT049,Tier 3,Medium,Supermarket Type1,0.012673238,18.6,121.5414,4.0,14
Regular,FDY40,Frozen Foods,2014,OUT013,Tier 3,High,Supermarket Type1,0.085763562,15.5,49.0692,4.0,12
Low Fat,FDN12,Baking Goods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.081103929,15.6,112.3544,4.0,10
Regular,FDN33,Snack Foods,2018,OUT027,Tier 3,Medium,Supermarket Type1,0.122519571,12.867122940430924,93.0436,2.8,8
Regular,FDU27,Meat,2020,OUT017,Tier 2,Medium,Supermarket Type1,0.172446822,18.6,47.1376,5.0,6
Regular,FDC22,Snack Foods,2014,OUT013,Tier 3,High,Supermarket Type1,0.136314863,6.89,195.082,4.2,12
Low Fat,FDK16,Frozen Foods,2014,OUT013,Tier 3,Medium,Supermarket Type1,0.115233813,9.065,94.4094,4.0,12
Regular,FDQ07,Fruits and Vegetables,2015,OUT045,Tier 2,Small,Supermarket Type1,0.087584126,15.1,221.7456,2.5,11
Regular,FDK26,Canned,2017,OUT035,Tier 2,Small,Supermarket Type1,0.03217132,5.46,184.824,4.0,9
Low Fat,FDN44,Fruits and Vegetables,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.022685222,12.867122940430924,161.592,4.0,8
Regular,FDB26,Canned,2015,OUT045,Tier 2,High,Supermarket Type1,0.031330907,14.0,52.364,5.0,11
Regular,FDQ07,Fruits and Vegetables,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.05934663,15.1,219.8456,4.3,14
low fat,DRL11,Hard Drinks,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.04778563,12.867122940430924,156.5946,3.0,8
Low Fat,FDD51,Dairy,2012,OUT013,Tier 1,Medium,Supermarket Type1,0.120189206,11.15,45.0744,4.0,14
Low Fat,NCS05,Health and Hygiene,2014,OUT013,Tier 3,High,Supermarket Type1,0.020960615,12.867122940430924,133.2942,4.0,12
Regular,FDW38,Dairy,2016,OUT046,Tier 1,Small,Supermarket Type1,0.138679995,5.325,53.7298,4.0,10
Low Fat,NCI29,Health and Hygiene,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.032754431,8.6,140.5154,4.1,4
Regular,FDL51,Dairy,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.047684831,20.7,212.5876,4.3,4
Low Fat,NCE31,Household,2014,OUT013,Tier 3,High,Supermarket Type1,0.05934663,7.67,35.4216,5.0,12
Regular,FDQ36,Baking Goods,2020,OUT017,Tier 2,High,Supermarket Type1,0.162461219,7.855,39.2848,1.0,6
Low Fat,FDG40,Frozen Foods,2011,OUT010,Tier 3,Medium,Grocery Store,0.066657791,13.65,32.6558,4.1,15
Low Fat,FDS43,Fruits and Vegetables,2015,OUT045,Tier 3,Medium,Supermarket Type1,0.040597054,11.65,187.324,4.0,11
Regular,FDJ03,Dairy,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.072541731,12.35,48.5692,4.0,11
Regular,FDH28,Frozen Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.110202066,15.85,39.7506,1.0,14
Regular,FDQ48,Baking Goods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.034551415,14.3,98.1726,3.9985355648535563,4
Low Fat,NCC19,Household,2017,OUT013,Tier 2,Small,Supermarket Type1,0.05934663,6.57,193.982,4.0,9
Low Fat,FDW23,Baking Goods,2014,OUT013,Tier 3,High,Supermarket Type1,0.081944045,5.765,36.7164,5.0,12
Low Fat,DRH13,Soft Drinks,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.023983258,8.575,106.328,4.3,4
Regular,FDU58,Snack Foods,2015,OUT045,Tier 2,High,Supermarket Type1,0.0,6.61,186.4898,5.0,11
Regular,FDK08,Fruits and Vegetables,2014,OUT013,Tier 3,High,Supermarket Type1,0.122202946,12.867122940430924,100.1016,3.5,12
Low Fat,FDP24,Baking Goods,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.082602127,12.867122940430924,120.9756,4.0,8
LF,NCN18,Household,2015,OUT013,Tier 2,Medium,Supermarket Type1,0.124967595,8.895,112.7544,4.0,11
Low Fat,NCB42,Health and Hygiene,2018,OUT035,Tier 2,Small,Supermarket Type1,0.008559557,11.8,117.2492,4.0,8
Low Fat,FDA20,Fruits and Vegetables,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.066892471,6.78,186.424,4.0,4
Low Fat,FDV09,Snack Foods,2011,OUT010,Tier 3,High,Grocery Store,0.05934663,12.1,146.6734,3.9985355648535563,15
Low Fat,FDK15,Meat,2011,OUT010,Tier 3,High,Grocery Store,0.05934663,10.8,143.9786,4.0,15
Low Fat,FDP20,Fruits and Vegetables,2014,OUT013,Tier 3,High,Supermarket Type1,0.045631231,19.85,128.102,4.4,12
Low Fat,DRH03,Dairy,2016,OUT046,Tier 1,Small,Supermarket Type1,0.05934663,17.25,92.412,4.5,10
Low Fat,DRK47,Hard Drinks,2018,OUT045,Tier 2,Medium,Supermarket Type1,0.064194304,7.905,229.4694,4.2,8
Low Fat,NCK05,Health and Hygiene,2011,OUT010,Tier 3,Medium,Grocery Store,0.0,20.1,61.3536,4.2,15
Low Fat,FDX44,Fruits and Vegetables,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.043033346,9.3,89.4172,3.4,14
Low Fat,FDN21,Snack Foods,2014,OUT013,Tier 3,High,Supermarket Type1,0.076791671,18.6,161.0236,4.1,12
Low Fat,DRC13,Soft Drinks,2015,OUT045,Tier 2,High,Supermarket Type1,0.0,8.26,143.9786,4.6,11
Regular,FDO52,Frozen Foods,2015,OUT045,Tier 2,High,Supermarket Type1,0.077321087,11.6,169.3106,4.0,11
Low Fat,FDH22,Snack Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.136512858,6.405,128.7678,4.5,14
Low Fat,FDZ04,Frozen Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.038014104,9.31,62.351,4.2,14
Low Fat,NCV06,Household,2020,OUT017,Tier 2,Small,Supermarket Type1,0.06705851,11.3,194.0478,4.3,6
Low Fat,DRJ11,Hard Drinks,2011,OUT013,Tier 3,Medium,Grocery Store,0.142425145,9.5,189.9872,4.0,15
Low Fat,DRG23,Hard Drinks,2017,OUT035,Tier 2,Small,Supermarket Type1,0.086764795,8.88,153.8682,4.2,9
Regular,FDB40,Dairy,2011,OUT010,Tier 3,High,Grocery Store,0.012620221,17.5,144.8102,4.0,15
Low Fat,FDL48,Baking Goods,2011,OUT010,Tier 3,Medium,Grocery Store,0.137697119,19.35,47.1034,4.0,15
Low Fat,FDR47,Breads,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.087824967,17.85,196.0794,4.1,4
Low Fat,DRL60,Soft Drinks,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.027169589,8.52,151.0682,3.1,4
LF,FDH41,Frozen Foods,2018,OUT019,Tier 1,Small,Grocery Store,0.143591586,12.867122940430924,213.5534,4.8,8
Low Fat,DRA12,Soft Drinks,2011,OUT010,Tier 3,Medium,Grocery Store,0.068535039,11.6,143.0154,3.6,15
Low Fat,FDI22,Fruits and Vegetables,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.0,16.35,196.3426,3.7,4
reg,FDT26,Dairy,2018,OUT013,Tier 3,Medium,Supermarket Type3,0.067624438,12.867122940430924,120.944,4.5,8
reg,FDT23,Breads,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.075035902,7.72,78.7986,4.2,4
Low Fat,FDT36,Baking Goods,2018,OUT027,Tier 3,Medium,Supermarket Type1,0.05934663,12.867122940430924,35.2874,4.0,8
Low Fat,NCV41,Health and Hygiene,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.017108186,14.35,110.3228,3.7,4
Low Fat,DRM35,Fruits and Vegetables,2020,OUT017,Tier 2,Small,Supermarket Type1,0.070843019,9.695,177.7344,4.0,6
Low Fat,FDW01,Canned,2017,OUT035,Tier 2,Small,Supermarket Type1,0.064048405,14.5,153.4682,3.5,9
Regular,FDA40,Frozen Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.099252438,16.0,87.4856,4.3,9
Low Fat,DRB25,Soft Drinks,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.05934663,12.867122940430924,106.0938,4.0,8
Low Fat,FDF12,Baking Goods,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.082028694,12.867122940430924,148.6076,4.0,8
Low Fat,FDA21,Snack Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.036016619,13.65,186.3924,4.0,14
Regular,FDR56,Fruits and Vegetables,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.100922503,15.5,199.0768,4.0,14
LF,NCA17,Health and Hygiene,2014,OUT013,Tier 3,High,Supermarket Type1,0.045380404,20.6,148.4392,3.6,12
Low Fat,FDI22,Baking Goods,2014,OUT013,Tier 3,High,Supermarket Type1,0.029535852,6.71,67.5142,4.3,12
Low Fat,FDV50,Dairy,2016,OUT046,Tier 1,Small,Supermarket Type1,0.122571209,14.3,122.373,4.0,10
Regular,FDU12,Baking Goods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.076059648,15.5,265.1568,3.9,4
Regular,FDQ15,Meat,2017,OUT035,Tier 2,Small,Supermarket Type1,0.151044881,20.35,79.2276,4.0,9
Regular,FDO52,Frozen Foods,2020,OUT017,Tier 2,High,Supermarket Type1,0.07760107,11.6,171.0106,3.3,6
Regular,FDT14,Dairy,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.127108578,12.867122940430924,120.744,4.0,8
Low Fat,DRL37,Soft Drinks,2018,OUT017,Tier 2,High,Supermarket Type1,0.0,15.5,41.377,2.0,8
low fat,NCX54,Household,2011,OUT010,Tier 3,Small,Grocery Store,0.080442371,9.195,107.7622,4.0,15
Low Fat,FDV15,Meat,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.146767897,12.867122940430924,102.3648,3.6,4
Low Fat,FDS35,Breads,2014,OUT013,Tier 3,High,Supermarket Type1,0.111127966,9.3,63.1826,4.2,12
Regular,FDJ60,Baking Goods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.062516602,19.35,163.9184,4.0,9
Regular,FDI22,Snack Foods,2014,OUT013,Tier 3,High,Supermarket Type1,0.12332588,6.67,90.2514,4.2,12
Low Fat,DRN47,Hard Drinks,2022,OUT018,Tier 3,Medium,Supermarket Type1,0.016895293,12.1,178.566,5.0,4
Low Fat,FDA15,Dairy,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.016047301,9.3,249.8092,4.1,14
Low Fat,NCY41,Health and Hygiene,2018,OUT046,Tier 1,Small,Supermarket Type1,0.075735621,16.75,34.5532,4.1,8
Low Fat,FDI22,Snack Foods,2020,OUT017,Tier 2,High,Supermarket Type1,0.035384612,19.2,180.3318,4.2,6
Low Fat,FDY36,Baking Goods,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.009364957,12.867122940430924,74.238,4.0,8
Low Fat,FDZ38,Dairy,2020,OUT017,Tier 2,Small,Supermarket Type1,0.008046275,17.6,173.7422,4.4,6
Regular,FDQ40,Frozen Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.036027524,11.1,143.9786,3.9985355648535563,10
Low Fat,FDN48,Baking Goods,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.065082452,13.35,93.0804,4.0,11
Low Fat,FDM20,Fruits and Vegetables,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.0,10.0,246.9144,3.5,4
Low Fat,FDO58,Snack Foods,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.039385518,12.867122940430924,164.8526,3.0,8
Regular,FDO31,Fruits and Vegetables,2022,OUT013,Tier 3,Medium,Supermarket Type1,0.029100745,6.76,80.696,4.3,4
Regular,FDO46,Snack Foods,2020,OUT017,Tier 2,Medium,Supermarket Type1,0.0,9.6,191.0872,4.5,6
Regular,FDG56,Fruits and Vegetables,2015,OUT045,Tier 3,High,Supermarket Type1,0.071597469,13.3,60.8536,4.4,11
Regular,FDI58,Snack Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.070704474,7.64,93.412,4.0,10
Regular,FDH20,Fruits and Vegetables,2017,OUT035,Tier 2,Small,Supermarket Type1,0.024944396,16.1,143.9786,4.0,9
Regular,FDT39,Meat,2020,OUT017,Tier 2,Medium,Supermarket Type1,0.009923732,6.26,152.8366,4.0,6
Low Fat,FDV25,Canned,2015,OUT045,Tier 2,Small,Supermarket Type1,0.0,5.905,222.5456,3.9,11
Low Fat,FDW24,Baking Goods,2011,OUT010,Tier 3,Medium,Grocery Store,0.062762374,6.8,50.4034,4.8,15
low fat,FDZ48,Baking Goods,2018,OUT019,Tier 1,Small,Grocery Store,0.132995494,12.867122940430924,113.5544,4.0,8
Low Fat,NCS06,Household,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.031583053,12.867122940430924,260.991,4.1,8
Regular,FDT51,Meat,2014,OUT013,Tier 3,High,Supermarket Type1,0.010909704,11.65,143.9786,4.2,12
Low Fat,NCZ54,Household,2015,OUT045,Tier 2,Small,Supermarket Type1,0.083528446,14.65,162.4552,3.9,11
Low Fat,FDW20,Fruits and Vegetables,2014,OUT013,Tier 3,High,Supermarket Type1,0.024129332,20.75,124.173,5.0,12
LF,DRH59,Hard Drinks,2011,OUT013,Tier 3,Medium,Grocery Store,0.097805615,10.8,143.9786,4.3,15
Low Fat,FDZ57,Snack Foods,2017,OUT013,Tier 2,Small,Supermarket Type1,0.037757166,10.0,126.7994,4.1,9
Low Fat,NCQ41,Health and Hygiene,2018,OUT018,Tier 3,Medium,Supermarket Type2,0.019559746,14.8,193.7794,3.1,8
Low Fat,NCN17,Health and Hygiene,2016,OUT046,Tier 1,Small,Supermarket Type1,0.054939029,11.0,101.4358,4.0,10
Low Fat,FDE16,Frozen Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.026384672,8.895,208.9954,4.4,14
Regular,FDJ27,Meat,2015,OUT045,Tier 2,High,Supermarket Type1,0.122123201,17.7,100.7674,4.6,11
Low Fat,FDI26,Canned,2018,OUT019,Tier 1,Small,Grocery Store,0.061082177,12.867122940430924,180.0344,4.0,8
Low Fat,FDI22,Breads,2018,OUT019,Tier 1,Small,Grocery Store,0.246678647,12.867122940430924,129.7994,4.3,8
Low Fat,FDI19,Meat,2014,OUT013,Tier 3,High,Supermarket Type1,0.052295514,15.1,242.9512,4.0,12
Low Fat,FDS12,Baking Goods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.174085625,9.1,124.6362,1.0,9
Regular,FDI08,Fruits and Vegetables,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.066400129,18.2,250.1092,4.0,14
Regular,FDS24,Baking Goods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.062477955,20.85,87.2514,4.1,4
Low Fat,FDM33,Snack Foods,2020,OUT017,Tier 2,High,Supermarket Type1,0.088215871,15.6,220.1798,4.3,6
Low Fat,FDG44,Fruits and Vegetables,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.10234983,6.13,55.0298,4.0,14
Regular,FDJ55,Meat,2014,OUT013,Tier 3,High,Supermarket Type1,0.023511371,12.8,225.9404,4.0,12
Low Fat,NCM29,Health and Hygiene,2018,OUT045,Tier 2,Small,Supermarket Type1,0.017678008,11.5,129.2626,4.3,8
Low Fat,NCM17,Health and Hygiene,2020,OUT017,Tier 2,Small,Supermarket Type1,0.071538243,12.867122940430924,44.5086,4.3,6
Regular,FDR19,Fruits and Vegetables,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.158947217,12.867122940430924,145.5102,4.4,8
Low Fat,FDK50,Canned,2014,OUT013,Tier 3,High,Supermarket Type1,0.028339599,7.96,162.4894,4.0,12
Low Fat,NCL55,Others,2020,OUT017,Tier 2,Medium,Supermarket Type1,0.065026434,12.15,253.704,4.5,6
Low Fat,FDP24,Baking Goods,2020,OUT017,Tier 2,Small,Supermarket Type1,0.083473583,20.6,120.8756,4.1,6
Low Fat,FDB08,Fruits and Vegetables,2018,OUT017,Tier 2,Small,Supermarket Type1,0.03127929,6.055,160.3578,3.9985355648535563,8
Low Fat,FDC02,Canned,2016,OUT046,Tier 1,Small,Supermarket Type1,0.068822477,21.35,258.3278,4.0,10
Regular,FDG46,Snack Foods,2011,OUT010,Tier 3,Medium,Grocery Store,0.055084019,8.63,114.7518,2.8,15
Low Fat,FDC02,Canned,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.069102831,21.35,259.9278,2.6,4
Regular,FDW02,Dairy,2018,OUT019,Tier 1,Small,Grocery Store,0.066006824,12.867122940430924,126.2704,4.8,8
Low Fat,NCL31,Others,2014,OUT013,Tier 3,High,Supermarket Type1,0.120180894,7.39,141.447,3.3,12
Low Fat,NCN41,Health and Hygiene,2018,OUT010,Tier 3,Medium,Grocery Store,0.087387669,17.0,125.073,4.3,8
Low Fat,FDK43,Fruits and Vegetables,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.026950104,9.8,128.402,4.1,4
Low Fat,FDB17,Frozen Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.036672107,13.15,182.5976,3.9985355648535563,10
Low Fat,FDS55,Fruits and Vegetables,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.080771137,12.867122940430924,146.4734,4.0,8
Low Fat,FDI22,Canned,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.026735372,12.35,57.4246,4.4,11
Regular,FDP51,Meat,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.085622362,13.85,143.9786,4.0,4
Low Fat,NCF42,Fruits and Vegetables,2020,OUT017,Tier 2,High,Supermarket Type1,0.168329848,17.35,176.7712,3.6,6
Low Fat,NCI55,Household,2017,OUT035,Tier 3,Small,Supermarket Type1,0.012651172,18.6,123.1414,4.0,9
Regular,FDA28,Fruits and Vegetables,2017,OUT035,Tier 2,Small,Supermarket Type1,0.047792845,16.1,126.1362,4.0,9
Low Fat,NCO05,Health and Hygiene,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.046749112,7.27,143.9786,5.0,4
reg,FDI22,Snack Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.085268317,10.65,229.7668,4.0,14
Low Fat,DRZ11,Soft Drinks,2018,OUT017,Tier 2,Medium,Supermarket Type1,0.113302223,8.85,125.1388,4.0,8
Low Fat,NCL05,Health and Hygiene,2022,OUT018,Tier 3,Medium,Supermarket Type1,0.048092778,19.6,44.477,4.0,4
Regular,FDU20,Fruits and Vegetables,2014,OUT013,Tier 3,High,Supermarket Type1,0.021439694,19.35,119.7098,4.0,12
Regular,FDI22,Dairy,2014,OUT013,Tier 3,Medium,Supermarket Type1,0.063278652,16.1,182.1318,2.0,12
reg,FDX48,Baking Goods,2018,OUT019,Tier 1,Small,Grocery Store,0.066336811,12.867122940430924,154.1656,4.0,8
LF,NCW42,Household,2020,OUT017,Tier 2,Medium,Supermarket Type1,0.058799705,18.2,220.7456,4.0,6
Regular,FDJ58,Snack Foods,2011,OUT010,Tier 3,Small,Grocery Store,0.176244038,15.6,173.6764,4.5,15
Regular,FDI04,Frozen Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.072898645,13.65,198.1426,4.0,9
Regular,FDQ08,Fruits and Vegetables,2016,OUT046,Tier 1,Small,Supermarket Type1,0.018930352,15.7,59.4536,4.1,10
Low Fat,NCO54,Household,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.014205168,12.867122940430924,56.7614,4.3,8
Regular,DRA24,Soft Drinks,2018,OUT019,Tier 1,Small,Grocery Store,0.05934663,12.867122940430924,163.2868,3.5,8
Low Fat,FDI22,Fruits and Vegetables,2011,OUT010,Tier 3,Medium,Grocery Store,0.059834024,10.895,133.5284,4.1,15
